gloss_input,english_input,filipino_output,origin,context_tag
HE CARE ABOUT SHE,He's taking care of her.,Mahalaga siya sa kaniya.,FSL,neutral
I HAVE RED BLUE,I have red and blue.,Mayroon akong pula at asul.,FSL,color
I GO FROM HOME,I'm going home.,Umalis ako sa bahay.,FSL,place
I LOVE FAMILY,I love my family.,Mahal ko ang aking pamilya.,FSL,people
I WOULD LIKE GO,I'd like to go.,Gusto kong pumunta.,FSL,common_verbs
YOU MEET FAMILY,You're meeting your family.,Nakikita mo ang iyong pamilya.,FSL,people
HE LOVE HIS FATHER,He loves his father.,Mahal niya ang kanyang ama.,FSL,people
I WISH YOU COME,I wish you'd come.,Nais kong dumating ka.,FSL,neutral
HE LOVE RUN,He loves to run.,Mahal niyang tumakbo.,FSL,action
SHE SEE FOUR,She sees four.,Nakikita niya ang apat.,FSL,number
WE EXCITED SCHOOL,We are excited about school.,Nasasabik tayo sa paaralan.,FSL,emotion
I ARRIVE,I arrive.,Dumarating ako.,FSL,neutral
I HAPPY HOME,I am happy at home.,Masaya ako sa bahay.,FSL,place
HE WRITE WORK,He writes at work.,Sumusulat siya sa trabaho.,FSL,action
I NEVER STOP,I never stop.,Hindi ako kailanman tumitigil.,FSL,neutral
SHE PLAY SCHOOL,She plays at school.,Naglalaro siya sa paaralan.,FSL,action
WE WRITE NIGHT,We write at night.,Sumusulat tayo sa gabi.,FSL,action
HE BECOME TIRED,He becomes tired.,Nagiging pagod siya.,FSL,emotion
WE NO GO,We're not leaving.,Hindi tayo pupunta.,FSL,neutral
YOU SEE,You see.,Nakikita mo.,FSL,neutral
YOU WANT HOUSE,You want a house.,Gusto mo ng bahay.,FSL,object_things
YOU SPEAK LIE,You're telling a lie.,Nagsasalita ka ng kasinungalingan.,FSL,neutral
I THINK,I think.,Sa palagay ko.,FSL,neutral
WE RARELY FIGHT,We rarely fight.,Bihirang nag-aaway tayo.,FSL,time
I SURE,I'm sure.,Sigurado ako.,FSL,neutral
COME HERE,Come here.,Halika dito.,FSL,imperative
HE ANGRY WHY,Why is he angry?,Bakit siya galit?,ASL,question
I WORRY ABOUT YOU,I worry about you.,Nag-aalala ako sa iyo.,FSL,neutral
YOU BUSY,You're busy.,Abala ka.,FSL,neutral
PLEASE LISTEN,Please listen.,Pakiusap makinig.,FSL,imperative
I CALL FATHER,I call my father.,Tumatawag ako sa aking ama.,FSL,people
FAMILY GOOD,My family is good.,Mabuti ang aking pamilya.,ASL,people
TWO YOU HAVE,You have two.,Mayroon kang dalawa.,ASL,number
SHE TIRED WORK,She's tired from work.,Pagod siya sa trabaho.,FSL,emotion
I ALREADY GO,I already went.,Pumunta na ako.,FSL,time
SHE AT SCHOOL,She is at school.,Nasa paaralan siya.,FSL,place
SHE SCHOOL TODAY,She goes to school today.,Pumupunta siya sa paaralan ngayon.,FSL,time
I COME WORK,I'm coming to work.,Pupupunta ako sa trabaho.,FSL,place
I NEED GO HOME NOW MOTHER,I need to go home now to my mother.,Kailangan kong umuwi ngayon sa aking ina.,FSL,people
HELLO YOU HOW,Hello how are you?,Kamusta kumusta ka?,MIXED,greeting
I PREPARE,I prepare.,Naghahanda ako.,FSL,neutral
HE WRITE BOOK,He writes a book.,Sumusulat siya ng libro.,FSL,object_things
SCARED THEY HOME,They are scared at home.,Takot sila sa bahay.,ASL,emotion
HOW THEY KNOW,How do they know?,Paano nila nalaman?,FSL,question
NICE,That's nice.,Maganda iyan.,MIXED,greeting
THEY SEE WHITE HOUSE,They see a white house.,Nakikita nila ang puting bahay.,FSL,color
YOU MISS FAMILY,You miss your family.,Miss mo ang iyong pamilya.,FSL,people
WE HAPPY PLAY,We are happy playing.,Masaya tayong naglalaro.,FSL,action
YOU WANT BLUE CAR,You want a blue car.,Gusto mo ng asul na kotse.,FSL,color
YOU LIKE GREEN YELLOW,You like green and yellow.,Gusto mo ng berde at dilaw.,FSL,color
THEY HAVE PHONE,You have a phone.,Mayroon silang telepono.,FSL,object_things
I ENJOY HOME,I enjoy being home.,Nag-eenjoy ako sa bahay.,FSL,place
SHE EXCITED,She is excited.,Nasasabik siya.,FSL,emotion
HE SHOW IT,He shows it.,Ipinakikita niya ito.,FSL,neutral
YOU AGREE,You agree.,Sumasang-ayon ka.,FSL,neutral
SHE EAT WITH FAMILY,She eats with her family.,Kumakain siya kasama ang kanyang pamilya.,FSL,people
I GO YESTERDAY,I went yesterday.,Pumunta ako kahapon.,FSL,time
TRY THIS,Try this.,Subukan mo ito.,FSL,imperative
THEY NO SCARED,You're not afraid.,Hindi sila takot.,FSL,emotion
YOU CAN DO WHAT,What can you do?,Ano ang magagawa mo?,ASL,question
I MAKE YOU HAPPY,I make you happy.,Pinapagsasaya kita.,FSL,emotion
YOU PREPARE,You prepare.,Naghahanda ka.,FSL,neutral
HE LOVE FAMILY,He loves his family.,Mahal niya ang kanyang pamilya.,FSL,people
HE TRY HARD,He's trying.,Sinusubukan niyang mabuti.,FSL,neutral
THEY SELDOM VISIT,They rarely visit.,Bihirang bumibisita sila.,FSL,time
HOUSE SHE HAVE,She's got a house.,Mayroon siyang bahay.,ASL,object_things
YOU MORE SAD TODAY,You're sadder today.,Mas malungkot ka ngayon.,FSL,emotion
SHE HAVE YELLOW HOUSE,She's got a yellow house.,Mayroon siyang dilaw na bahay.,FSL,color
THEY LIKE YELLOW,You like yellow.,Gusto nila ng dilaw.,FSL,color
HE HAVE BOOK,He's got a book.,Mayroon siyang libro.,FSL,object_things
YOU AT FARM,You are at the farm.,Nasa bukid ka.,FSL,place
WE READ BOOK,We read a book.,Nagbabasa tayo ng libro.,FSL,object_things
YOU MAKE,You make.,Gumagawa ka.,FSL,neutral
I KNOW,I know.,Alam ko.,FSL,neutral
YOU WALK WITH MOTHER,You walk with your mother.,Naglalakad ka kasama ang iyong ina.,FSL,people
HE NEED SLEEP REST HOME,He needs to sleep at home and rest.,Kailangan niyang matulog at magpahinga sa bahay.,FSL,action
READ YOU,You hear me.,Nagbabasa ka.,ASL,action
GOODBYE EVERYONE,Goodbye.,Paalam sa inyong lahat.,FSL,greeting
YESTERDAY NIGHT HE WORK,Last night he worked.,Kagabi nagtrabaho siya.,ASL,time
I WAKE MORNING,I wake up in the morning.,Gumigising ako sa umaga.,FSL,time
I LIKE READ,I like reading.,Gusto kong magbasa.,FSL,action
I PLAY HAPPY,I'm playing happily.,Naglalaro akong masaya.,FSL,action
PHONE SHE USE,She's using a phone.,Gumagamit siya ng telepono.,ASL,object_things
I HIDE IT,I'm hiding it.,Itinatago ko ito.,FSL,neutral
I NEED TIME,I need time.,Kailangan ko ng oras.,FSL,neutral
YOU NEED GO SCHOOL STUDY,You have to go to school to learn.,Kailangan mong pumunta sa paaralan para mag-aral.,FSL,place
I WANT PLAY MORE,I want to play more.,Gusto kong maglaro pa.,FSL,action
WATER THEY NEED,They need water.,Kailangan nila ng tubig.,ASL,object_things
YOU STUDY WHAT,What are you studying?,Ano ang pinag-aaralan mo?,ASL,question
I PLAY MORNING,I play in the morning.,Naglalaro ako sa umaga.,FSL,action
I LOVE PLAY,I love to play.,Mahal kong maglaro.,FSL,action
SHE EXCITED,She's excited.,Nasasabik siya.,FSL,emotion
HE WRITE LETTER,He's writing a letter.,Sumusulat siya ng liham.,FSL,action
YOU HAVE FEW CAR,You've got some cars.,Mayroon kang kaunting kotse.,FSL,number
YOU HELP FATHER,You help your father.,Tinutulungan mo ang iyong ama.,FSL,people
I KEEP PROMISE,I keep my promise.,Tinutupad ko ang aking pangako.,FSL,neutral
YOU TEXT FATHER,You text your father.,Nagtetext ka sa iyong ama.,FSL,neutral
YOU EXPLAIN,You explain.,Ipinapaliwanag mo.,FSL,neutral
I WAIT FATHER,I wait for my father.,Hinihintay ko ang aking ama.,FSL,people
AFTERNOON WE WORK,In the afternoon we work.,Sa hapon nagtatrabaho tayo.,ASL,time
YOU SAD ME,You are sad about me.,Malungkot ka tungkol sa akin.,FSL,emotion
HE EAT DRINK SLEEP,He eats drinks and sleeps.,Kumakain umiinom at natutulog siya.,FSL,action
HE DRIVE CAR,He drives a car.,Nagmamaneho siya ng kotse.,FSL,object_things
SHE COME WORK,She's coming to work.,Pumupunta siya sa trabaho.,FSL,common_verbs
WE HAPPY PLAY,We're happy to play.,Masaya tayong naglalaro.,FSL,action
I HAVE TWO,I have two.,Mayroon akong dalawa.,FSL,number
HE FORGIVE SHE,He forgives her.,Pinapatawad niya siya.,FSL,neutral
HOW MANY YOU HAVE,How many do you have?,Ilan ang mayroon ka?,FSL,question
YOU COME FROM SCHOOL,You're from school.,Galing ka sa paaralan.,FSL,place
I GO YESTERDAY,I left yesterday.,Pumunta ako kahapon.,FSL,time
I EMAIL YOU,I'll e-mail you.,Nag-email ako sa iyo.,FSL,neutral
I ALWAYS HAPPY,I'm always happy.,Lagi akong masaya.,FSL,emotion
MORNING I EAT,I'll eat in the morning.,Sa umaga kumakain ako.,FSL,time
I PLAY HOME,I play at home.,Naglalaro ako sa bahay.,FSL,action
RUN HE LIKE,He likes to run.,Gusto niyang tumakbo.,ASL,action
YOU EAT,You're eating.,Kumakain ka.,FSL,common_verbs
I ALREADY HOME,I am already home.,Nasa bahay na ako.,FSL,place
WHATSUP,What's happening?,Ano ang nangyayari?,MIXED,greeting
HE STUDY GOOD SCHOOL,He studies at a good school.,Nag-aaral siya sa mabuting paaralan.,FSL,place
WE LIKE THEY,We like them.,Gusto natin sila.,FSL,people
I PRACTICE,I practice.,Nagsasanay ako.,FSL,neutral
WE GO STORE,We're going to the store.,Pupunta tayo sa tindahan.,FSL,common_verbs
YOU SHOULD LISTEN,You should listen.,Dapat kang makinig.,FSL,imperative
I STILL HAPPY,I'm still happy.,Masaya pa rin ako.,FSL,emotion
I WISH HE HELP,I wish he would help.,Nais kong tumulong siya.,FSL,neutral
YOU PROUD OF ME,You are proud of me.,Ipinagmamalaki mo ako.,FSL,emotion
SHE READ,She's reading.,Nagbabasa siya.,FSL,common_verbs
YOU LIVE NEAR SCHOOL,You live near the school.,Nakatira ka malapit sa paaralan.,FSL,place
MAYBE YOU COME,Maybe you will come.,Baka dumating ka.,FSL,time
I NEED HELP,I need help.,Kailangan ko ng tulong.,FSL,common_verbs
I BUY,I buy.,Bumibili ako.,FSL,neutral
I WANT STAY HOME,I want to stay home.,Gusto kong manatili sa bahay.,FSL,place
I MOST HAPPY,I'm the happiest.,Ako ang pinakamasaya.,FSL,emotion
ONE TWO THREE,One two three.,Isa dalawa tatlo.,MIXED,number
HELP ME PLEASE,Please help me.,Pakiusap tulungan mo ako.,FSL,imperative
THREE HE HAVE,He has three.,Mayroon siyang tatlo.,ASL,number
THEY KNOW,You know it.,Alam nila.,FSL,neutral
YOU WAIT HERE,You wait here.,Maghintay ka dito.,ASL,imperative
WE MEET THEY,We'll meet her.,Nakikita natin sila.,FSL,people
YOU COME SCHOOL TODAY AFTERNOON,You're coming to school this afternoon.,Pupunta ka sa paaralan ngayong hapon.,FSL,time
YOU EAT YESTERDAY MORNING,You ate yesterday morning.,Kumain ka kahapon ng umaga.,FSL,time
GOODBYE FATHER TOMORROW,Goodbye father see you tomorrow.,Paalam ama kita tayo bukas.,MIXED,greeting
I WASH,I wash.,Naglalaba ako.,FSL,neutral
COME YOU HERE,Come here to me.,Halika dito sa akin.,ASL,imperative
YOU HELP FATHER,You're helping your father.,Tinutulungan mo ang iyong ama.,FSL,people
I SEE FOUR HOUSE GREEN,I see four green houses.,Nakikita ko ang apat na berdeng bahay.,FSL,number
HE HAPPY,He is happy.,Masaya siya.,FSL,emotion
YOU MUST COME HERE,You have to come here.,Kailangan mong pumunta dito.,FSL,imperative
I HAPPY PLAY,I'm happy to play.,Masaya akong maglaro.,FSL,action
YOU REJECT IT,They reject it.,Tinatanggihan mo ito.,FSL,neutral
YOU HELP ME NOW,You're helping me now.,Tulungan mo ako ngayon.,ASL,imperative
HE VISIT,He's coming to see us.,Bumibisita siya.,FSL,neutral
WHAT FOOD YOU EAT,What food do you eat?,Anong pagkain ang kinakain mo?,FSL,question
WE HAPPY,We're happy.,Masaya tayo.,FSL,emotion
YOU EAT WHAT FOOD,What food do you eat?,Anong pagkain ang kinakain mo?,ASL,question
WHAT TIME YOU SLEEP,What time do you sleep?,Anong oras ka natutulog?,FSL,question
YOU HELP YOUR FATHER,You're helping your father.,Tinutulungan mo ang iyong ama.,FSL,people
I LIKE YOU,I like you.,Gusto kita.,ASL,common_verbs
YOU GOOD FRIEND,You're a good friend.,Mabuting kaibigan ka.,ASL,common_verbs
HE SELDOM HAPPY,He is seldom happy.,Bihirang masaya siya.,FSL,emotion
YOU HELP FATHER WORK FARM,You're helping your father work on the farm.,Tinutulungan mo ang iyong ama magtrabaho sa bukid.,FSL,people
MY MOTHER GOOD,My mother is good.,Mabuti ang aking ina.,ASL,people
SHE LIKE RED,She likes red.,Gusto niya ng pula.,FSL,color
YOU READ WRITE SCHOOL,You read and write at school.,Nagbabasa at sumusulat ka sa paaralan.,FSL,action
YOU LOSE,You're losing.,Nawawala ka.,FSL,neutral
YOU TURN OFF PHONE,You turn off the phone.,Pinapatay mo ang telepono.,FSL,neutral
YOU TEACH ME READ,You teach me to read.,Tinuturuan mo akong magbasa.,FSL,action
I PROUD YOU,I am proud of you.,Ipinagmamalaki kita.,FSL,neutral
I AT SCHOOL,I am at school.,Nasa paaralan ako.,FSL,place
HE LEAVE,He leaves.,Umaalis siya.,FSL,neutral
TIRED,I am tired.,Pagod ako.,MIXED,emotion
TODAY HE HOME,Today he is home.,Nasa bahay siya ngayon.,FSL,time
WHY SHE SAD TODAY,Why is she sad today?,Bakit siya malungkot ngayon?,FSL,question
YOU WALK SLOW,You're going slow.,Naglalakad ka ng mabagal.,FSL,action
HE RUN FAST HOME YESTERDAY,He ran fast home yesterday.,Tumakbo siyang mabilis pauwi kahapon.,FSL,action
AFTERNOON HE PLAY,In the afternoon he plays.,Sa hapon naglalaro siya.,FSL,time
YOU WAKE TOMORROW MORNING,You will wake up tomorrow morning.,Gigising ka bukas ng umaga.,FSL,time
TIRED SHE WORK,She is tired from work.,Pagod siya sa trabaho.,ASL,emotion
BOOK,A book.,Isang libro.,MIXED,object_things
SHE TIRED WALK,She is tired from walking.,Pagod siya sa paglalakad.,FSL,action
YOU BREAK PROMISE,You break your promise.,Sinisira mo ang iyong pangako.,FSL,neutral
WE WORK AFTERNOON,We're working in the afternoon.,Nagtatrabaho tayo sa hapon.,FSL,time
YOU FIND CAR,You find a car.,Nakahanap ka ng kotse.,FSL,object_things
YOU TAKE THREE,You take three.,Kinukuha mo ang tatlo.,FSL,number
I THANK MY MOTHER,Thank my mother.,Nagpapasalamat ako sa aking ina.,FSL,people
I ARRIVE,I'll be there.,Dumarating ako.,FSL,neutral
I WALK PLAY RUN,I'm going to play and run.,Naglalakad naglalaro at tumatakbo ako.,FSL,action
MORNING HE RUN,In the morning he runs.,Sa umaga tumatakbo siya.,FSL,time
WORK HE GO,He's going to work.,Pupunta siya sa trabaho.,ASL,place
HE LEARN,He learns.,Natututo siya.,FSL,neutral
WHO HE CALL,Who's he calling?,Sino ang tinatawag niya?,FSL,question
SHE TIRED TOMORROW,She'll be tired tomorrow.,Pagod siya bukas.,FSL,emotion
I KEEP TRYING,I keep trying.,Patuloy akong sumusubok.,FSL,neutral
SHE STAY SCHOOL,She stays in school.,Nananatili siya sa paaralan.,FSL,place
I MEET FRIEND,I meet my friend.,Nakikita ko ang aking kaibigan.,FSL,people
TOMORROW YOU COME HOME,You'll be home tomorrow.,Bukas uuwi ka.,FSL,time
HE STILL TIRED,He is still tired.,Pagod pa rin siya.,FSL,emotion
TODAY SHE SCHOOL,She's going to school today.,Ngayon pumupunta siya sa paaralan.,ASL,time
SCARED,I am scared.,Takot ako.,MIXED,emotion
HE BUY FOOD,He's buying food.,Bumibili siya ng pagkain.,FSL,object_things
YOU CURIOUS,You're curious.,Mausisa ka.,FSL,neutral
TOMORROW HE GO WORK,Tomorrow he goes to work.,Bukas pupunta siya sa trabaho.,FSL,place
YOU NEED THREE FOUR,You need three and four.,Kailangan mo ng tatlo at apat.,FSL,number
SIX THEY LIKE,You like six.,Gusto nila ng anim.,ASL,number
SHE TAKE,She's taking it.,Kumukunha siya.,FSL,neutral
YOU STOP RUN,Stop running.,Tumitigil kang tumakbo.,FSL,action
YOU WORK SMALL STORE,You work in a small shop.,Nagtatrabaho ka sa maliit na tindahan.,FSL,place
I VISIT,I'm going to see him.,Bumibisita ako.,FSL,neutral
I RIDE CAR,I ride in the car.,Sumasakay ako sa kotse.,FSL,neutral
I PLAY,I am playing.,Naglalaro ako.,FSL,common_verbs
SAD,I am sad.,Malungkot ako.,MIXED,emotion
HE LEAVE HOME,He's leaving the house.,Umaalis siya sa bahay.,FSL,place
HE DENY IT,He denies it.,Itinatanggi niya ito.,FSL,neutral
I TAKE,I suppose so.,Kumukunha ako.,FSL,neutral
I WALK HOME,I walk home.,Naglalakad ako pauwi.,FSL,place
I TIRED,I am tired.,Pagod ako.,FSL,emotion
YOU TALK MOTHER,You're talking to your mother.,Nakikipag-usap ka sa iyong ina.,FSL,neutral
I NOT YET GO,I'm not gone yet.,Hindi pa ako pumunta.,FSL,time
YOU HELP MOTHER,You're helping your mother.,Tinutulungan mo ang iyong ina.,FSL,people
YOU UNCERTAIN,You are uncertain.,Hindi ka tiyak.,FSL,neutral
YOU FINISH WRITE,You're done writing.,Natapos kang sumulat.,FSL,action
AFTERNOON WE PLAY,In the afternoon we play.,Naglalaro tayo sa hapon.,ASL,common_verbs
SHE LEAVE SCHOOL,She leaves school.,Umaalis siya sa paaralan.,FSL,place
HE START,He starts.,Nagsisimula siya.,FSL,neutral
YOU EXCITED PLAY,You're excited to play.,Nasasabik kang maglaro.,FSL,action
HE WANT BLACK WHITE,He wants black and white.,Gusto niya ng itim at puti.,FSL,color
I WANT YOU,I want you.,Gusto kita.,ASL,common_verbs
YES I COME,Yes I will come.,Oo darating ako.,MIXED,common_verbs
HE STUDY,He's studying.,Nag-aaral siya.,FSL,neutral
I WALK PLAY RUN,I walk play and run.,Naglalakad naglalaro at tumatakbo ako.,FSL,action
I BUY CAR,I buy a car.,Bumibili ako ng kotse.,FSL,object_things
I AGREE,I agree.,Sumasang-ayon ako.,FSL,neutral
HE BRING,He's coming with me.,Dala niya.,FSL,neutral
YOU MEET SIX PEOPLE,You meet six people.,Nakikita mo ang anim na tao.,FSL,number
I COME SCHOOL,I come to school.,Pupupunta ako sa paaralan.,FSL,place
HE WANT RUN,He wants to run away.,Gusto niyang tumakbo.,FSL,action
YOU PLAY GOOD,You play well.,Naglalaro kang mabuti.,FSL,action
YOU WANT WHERE GO,Where do you want to go?,Saan mo gustong pumunta?,ASL,question
NO YOU NO COME,No you will not come.,Hindi ka darating.,FSL,common_verbs
I GO HOME SOON,I will go home soon.,Uuwi ako mamaya.,FSL,place
I KNOW YOU COME,I know you're coming.,Alam kong darating ka.,FSL,neutral
I TAKE BOOK,I'll take the book.,Kinukuha ko ang libro.,FSL,neutral
HE STAY HOME,He's staying home.,Nananatili siya sa bahay.,FSL,place
WE GO STORE,We go to the store.,Pupunta tayo sa tindahan.,FSL,common_verbs
HE COUNT SEVEN EIGHT,He counts seven eight.,Binibilang niya pito walo.,FSL,number
YOU EAT WITH FAMILY HOME,You're eating home with your family.,Kumakain ka kasama ang iyong pamilya sa bahay.,FSL,place
LEAVE NOW,Leave now.,Umalis ka ngayon.,FSL,imperative
CAR HE DRIVE,He drives a car.,Nagmamaneho siya ng kotse.,ASL,object_things
HOW MANY HE NEED,How many does he need?,Ilan ang kailangan niya?,FSL,question
HE SOON ARRIVE,He will arrive soon.,Darating siya mamaya.,FSL,time
HE ANGRY NO HAPPY,He is angry not happy.,Galit siya hindi masaya.,MIXED,emotion
YOU SHOULD REST HOME,You should rest at home.,Dapat kang magpahinga sa bahay.,FSL,place
YOU WEAR BLUE TOMORROW,You're wearing blue tomorrow.,Susuot ka ng asul bukas.,FSL,color
HE ANGRY,He's angry.,Galit siya.,FSL,emotion
WORK HE HAPPY,He's happy at work.,Masaya siya sa trabaho.,ASL,place
I SORRY FOR YOU,I am sorry for you.,Nakakaawa ka.,FSL,emotion
YOU PLAN,You're planning.,Nagpaplano ka.,FSL,neutral
FRIEND I MEET,I meet my friend.,Nakikita ko ang aking kaibigan.,ASL,people
YOU TIRED,You're tired.,Pagod ka.,FSL,emotion
SHE SCHOOL TOMORROW,She's going to school tomorrow.,Pupunta siya sa paaralan bukas.,FSL,time
WRITE THEY WANT,They want to write.,Gusto nilang sumulat.,ASL,action
YOU CALL FAMILY,You call your family.,Tumatawag ka sa iyong pamilya.,FSL,people
I WALK SCHOOL,I'm going to school.,Naglalakad ako papuntang paaralan.,FSL,place
HE JEALOUS OF SHE,He's jealous of her.,Nagseselos siya sa kaniya.,FSL,emotion
YOU HAVE QUESTION,You have a question.,Mayroon kang tanong.,FSL,neutral
HE INSIDE HOUSE,He's in the house.,Nasa loob siya ng bahay.,FSL,place
WHY YOU ANGRY,Why are you angry?,Bakit ka galit?,FSL,question
NIGHT YOU GOOD,Good night to you.,Magandang gabi sa iyo.,ASL,greeting
WHEN YOU COME,When are you coming?,Kailan ka darating?,FSL,question
HE WAIT FAMILY,He's waiting for his family.,Hinihintay niya ang kanyang pamilya.,FSL,people
SHE LIKE BOOK,She likes books.,Gusto niya ng libro.,FSL,object_things
HE WALK MORNING,He leaves in the morning.,Naglalakad siya sa umaga.,FSL,action
I PLAY TODAY,I'm playing today.,Naglalaro ako ngayon.,FSL,action
YOU SO SAD YESTERDAY,You were so sad yesterday.,Napakalungkot mo kahapon.,FSL,emotion
HE TRY HARD,He tries hard.,Sinusubukan niyang mabuti.,FSL,neutral
PLEASE COME HOME NOW,Please come home now.,Pakiusap umuwi ka ngayon.,FSL,imperative
YOUR FATHER HELP YOU,Your father helps you.,Tinutulungan ka ng iyong ama.,ASL,people
YOU RIGHT,You are right.,Tama ka.,FSL,neutral
THEY VERY SCARED,You're very scared.,Napakatakot nila.,FSL,emotion
YOU READ,You hear me.,Nagbabasa ka.,FSL,action
HE HAVE THREE BOOK,He has three books.,Mayroon siyang tatlong libro.,FSL,number
PLEASE STOP NOW,Please stop now.,Pakiusap tumigil ngayon.,FSL,imperative
TOMORROW I GO SCHOOL,Tomorrow I go to school.,Bukas pupunta ako sa paaralan.,FSL,time
I AT HOME,I'm home.,Nasa bahay ako.,FSL,place
YESTERDAY HE SLEEP,Yesterday he slept.,Kahapon natulog siya.,FSL,time
HELLO MOTHER HOW,"Hello, Mother, how are you?",Kamusta ina kumusta ka?,MIXED,greeting
